,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,track_name,artist_name
7751,0.7440000000000001,0.0345,2,-22.075,0,0.0621,0.892,0.0,0.122,0.171,118.071,audio_features,4E8hy6nimvSKyzC42rO8Z4,spotify:track:4E8hy6nimvSKyzC42rO8Z4,https://api.spotify.com/v1/tracks/4E8hy6nimvSKyzC42rO8Z4,https://api.spotify.com/v1/audio-analysis/4E8hy6nimvSKyzC42rO8Z4,242463,4,23,Like Lions Do,"Right Away, Great Captain!"
7752,0.6459999999999999,0.9620000000000001,9,-4.862,1,0.0536,0.138,0.0,0.47100000000000003,0.961,164.79,audio_features,41kg2RvdwBuIv0OPpvBS4v,spotify:track:41kg2RvdwBuIv0OPpvBS4v,https://api.spotify.com/v1/tracks/41kg2RvdwBuIv0OPpvBS4v,https://api.spotify.com/v1/audio-analysis/41kg2RvdwBuIv0OPpvBS4v,144333,4,64,Time Bomb,Rancid
7753,0.525,0.9890000000000001,4,-1.4380000000000002,1,0.0527,0.00244,0.0,0.12300000000000001,0.504,104.069,audio_features,3pdHJCTk85ls2SGGXIJ7XH,spotify:track:3pdHJCTk85ls2SGGXIJ7XH,https://api.spotify.com/v1/tracks/3pdHJCTk85ls2SGGXIJ7XH,https://api.spotify.com/v1/audio-analysis/3pdHJCTk85ls2SGGXIJ7XH,223228,4,60,Fall Back Down,Rancid
7754,0.529,0.976,0,-4.978,1,0.10800000000000001,0.0836,0.0,0.213,0.722,161.928,audio_features,0LWkdUtorgGHr1bwT2C6tY,spotify:track:0LWkdUtorgGHr1bwT2C6tY,https://api.spotify.com/v1/tracks/0LWkdUtorgGHr1bwT2C6tY,https://api.spotify.com/v1/audio-analysis/0LWkdUtorgGHr1bwT2C6tY,167507,3,54,Roots Radical,Rancid
7755,0.614,0.951,7,-2.478,1,0.0742,0.02,0.0,0.0528,0.943,167.019,audio_features,3MXxV2BQjMEhZmTtLkIOPz,spotify:track:3MXxV2BQjMEhZmTtLkIOPz,https://api.spotify.com/v1/tracks/3MXxV2BQjMEhZmTtLkIOPz,https://api.spotify.com/v1/audio-analysis/3MXxV2BQjMEhZmTtLkIOPz,143547,4,46,Where I'm Going,Rancid
7756,0.603,0.743,7,-6.569,1,0.0395,0.24,0.00392,0.147,0.5329999999999999,162.265,audio_features,1KPDAA9zyJXcEDvFW5inYi,spotify:track:1KPDAA9zyJXcEDvFW5inYi,https://api.spotify.com/v1/tracks/1KPDAA9zyJXcEDvFW5inYi,https://api.spotify.com/v1/audio-analysis/1KPDAA9zyJXcEDvFW5inYi,158474,4,66,Down the Line,Beach Fossils
7757,0.44799999999999995,0.976,0,-5.772,1,0.13699999999999998,0.08800000000000001,1.86e-05,0.205,0.763,95.741,audio_features,4DGF8TFAkEpIr9tYqBxCtL,spotify:track:4DGF8TFAkEpIr9tYqBxCtL,https://api.spotify.com/v1/tracks/4DGF8TFAkEpIr9tYqBxCtL,https://api.spotify.com/v1/audio-analysis/4DGF8TFAkEpIr9tYqBxCtL,169387,4,29,Supernothing,Catch 22
7758,0.638,0.9229999999999999,0,-2.501,1,0.0807,0.0098,1.85e-05,0.16399999999999998,0.9640000000000001,139.79,audio_features,1TX3ZVOUGow1GARsDjdmnx,spotify:track:1TX3ZVOUGow1GARsDjdmnx,https://api.spotify.com/v1/tracks/1TX3ZVOUGow1GARsDjdmnx,https://api.spotify.com/v1/audio-analysis/1TX3ZVOUGow1GARsDjdmnx,174013,4,35,Dear Sergio,Streetlight Manifesto
7759,0.441,0.983,0,-6.166,1,0.0501,0.002,2.7399999999999995e-05,0.0697,0.804,137.466,audio_features,2vj44YAdmnTjAmDPX6rGnb,spotify:track:2vj44YAdmnTjAmDPX6rGnb,https://api.spotify.com/v1/tracks/2vj44YAdmnTjAmDPX6rGnb,https://api.spotify.com/v1/audio-analysis/2vj44YAdmnTjAmDPX6rGnb,141427,4,29,Sick and Sad,Catch 22
7760,0.667,0.885,9,-5.281000000000001,1,0.0507,0.157,3.97e-06,0.687,0.953,119.536,audio_features,1EumTYKFbtiK1p65CqKKOw,spotify:track:1EumTYKFbtiK1p65CqKKOw,https://api.spotify.com/v1/tracks/1EumTYKFbtiK1p65CqKKOw,https://api.spotify.com/v1/audio-analysis/1EumTYKFbtiK1p65CqKKOw,182880,4,52,Keasbey Nights,Catch 22
7761,0.452,0.975,2,-4.622,1,0.166,0.109,3.54e-06,0.35100000000000003,0.614,141.02,audio_features,0y0Yng4SzdYzHahs3Hf3ES,spotify:track:0y0Yng4SzdYzHahs3Hf3ES,https://api.spotify.com/v1/tracks/0y0Yng4SzdYzHahs3Hf3ES,https://api.spotify.com/v1/audio-analysis/0y0Yng4SzdYzHahs3Hf3ES,202920,4,32,Day In Day Out,Catch 22
7762,0.532,0.8640000000000001,7,-5.4670000000000005,1,0.289,0.0747,0.0,0.106,0.441,139.334,audio_features,4LqxQzP3F0EXf00M58URik,spotify:track:4LqxQzP3F0EXf00M58URik,https://api.spotify.com/v1/tracks/4LqxQzP3F0EXf00M58URik,https://api.spotify.com/v1/audio-analysis/4LqxQzP3F0EXf00M58URik,388387,4,45,"A Better Place, a Better Time",Streetlight Manifesto
7763,0.6,0.912,7,-3.449,0,0.0724,0.0198,6.52e-05,0.0883,0.506,110.339,audio_features,3SoDB59Y7dSZLSDBiNJ6o2,spotify:track:3SoDB59Y7dSZLSDBiNJ6o2,https://api.spotify.com/v1/tracks/3SoDB59Y7dSZLSDBiNJ6o2,https://api.spotify.com/v1/audio-analysis/3SoDB59Y7dSZLSDBiNJ6o2,277533,4,60,Charlie,Red Hot Chili Peppers
7764,0.6829999999999999,0.585,8,-6.76,1,0.0323,0.008190000000000001,0.0162,0.0797,0.6409999999999999,115.99700000000001,audio_features,0It6VJoMAare1zdV2wxqZq,spotify:track:0It6VJoMAare1zdV2wxqZq,https://api.spotify.com/v1/tracks/0It6VJoMAare1zdV2wxqZq,https://api.spotify.com/v1/audio-analysis/0It6VJoMAare1zdV2wxqZq,235000,4,65,Undisclosed Desires,Muse
7765,0.561,0.569,6,-9.682,1,0.0289,0.365,0.611,0.109,0.53,103.705,audio_features,718purgMpFb2Axhuz0Hbq1,spotify:track:718purgMpFb2Axhuz0Hbq1,https://api.spotify.com/v1/tracks/718purgMpFb2Axhuz0Hbq1,https://api.spotify.com/v1/audio-analysis/718purgMpFb2Axhuz0Hbq1,216787,4,55,Chances,The Strokes
7766,0.622,0.802,2,-6.379,0,0.0358,0.00801,0.36700000000000005,0.331,0.342,101.007,audio_features,6ufGGj38dHHmgyHcX0n0lm,spotify:track:6ufGGj38dHHmgyHcX0n0lm,https://api.spotify.com/v1/tracks/6ufGGj38dHHmgyHcX0n0lm,https://api.spotify.com/v1/audio-analysis/6ufGGj38dHHmgyHcX0n0lm,488760,4,0,Public Pervert (Carlos D Remix),Interpol
7767,0.535,0.992,4,-4.047,0,0.0769,0.000146,0.0743,0.871,0.46299999999999997,137.082,audio_features,4VmqrMPBppKFkOw2zuEIt8,spotify:track:4VmqrMPBppKFkOw2zuEIt8,https://api.spotify.com/v1/tracks/4VmqrMPBppKFkOw2zuEIt8,https://api.spotify.com/v1/audio-analysis/4VmqrMPBppKFkOw2zuEIt8,208627,4,0,The Heinrich Maneuver,Interpol
7768,0.35,0.8240000000000001,7,-6.74,1,0.035,0.000863,0.8270000000000001,0.294,0.265,112.52,audio_features,5bmLW1h16jxvCWHxnk7otj,spotify:track:5bmLW1h16jxvCWHxnk7otj,https://api.spotify.com/v1/tracks/5bmLW1h16jxvCWHxnk7otj,https://api.spotify.com/v1/audio-analysis/5bmLW1h16jxvCWHxnk7otj,367360,4,8,The New,Interpol
7769,0.364,0.982,2,-5.6339999999999995,1,0.0486,0.0011300000000000001,0.8440000000000001,0.336,0.706,150.213,audio_features,5jUYbXdqWRzph2pm31WB3d,spotify:track:5jUYbXdqWRzph2pm31WB3d,https://api.spotify.com/v1/tracks/5jUYbXdqWRzph2pm31WB3d,https://api.spotify.com/v1/audio-analysis/5jUYbXdqWRzph2pm31WB3d,227093,4,1,Get The Girls/Song 5 (First Demo),Interpol
7770,0.585,0.8420000000000001,9,-5.882999999999999,0,0.0556,0.00242,0.00686,0.0866,0.428,118.211,audio_features,2takcwOaAZWiXQijPHIx7B,spotify:track:2takcwOaAZWiXQijPHIx7B,https://api.spotify.com/v1/tracks/2takcwOaAZWiXQijPHIx7B,https://api.spotify.com/v1/audio-analysis/2takcwOaAZWiXQijPHIx7B,237040,4,68,Time Is Running Out,Muse
